😀	5483
😃	68175
😄	1375
😁	1317
😆	68175
😅	268
🤣	14047
😂	14047
🙂	5483
🙃	5483
🫠	5483
😉	2901
😊	10481
😇	2274
🥰	5483
😍	3638
🤩	5344
😘	3638
😗	791
☺️	5483
😚	3638
😙	596
🥲	1193
😋	2809
😛	6957
😜	425
🤪	5483
😝	220
🤑	5483
🤗	596
🤭	2901
🫢	20936
🫣	1448
🤫	4633
🤔	7548
🫡	4705
🤐	10759
🤨	980
😐	5483
😑	80
😶	5483
🫥	5369
😶‍🌫️	4273
😏	124
😒	967
🙄	37862
😬	5483
😮‍💨	268
🤥	177
🫨	5483
😌	791
😔	268
😪	182
🤤	2684
😴	865
😷	5657
🤒	19579
🤕	1193
🤢	1174
🤮	2498
🤧	786
🥵	15632
🥶	2809
🥴	161
😵	824
😵‍💫	210
🤯	68175
🤠	1256
🥳	15632
🥸	2901
😎	2386
🤓	3145
🧐	1793
😕	967
🫤	10759
😟	11520
🙁	5483
☹️	923
😮	10759
😯	354
😲	68175
😳	233
🥺	68175
🥹	831
😦	10759
😧	1448
😨	1448
😰	2809
😥	182
😢	2194
😭	14047
😱	1448
😖	1193
😣	1193
😞	1564
😓	2809
😩	540
😫	1060
🥱	172
😤	4042
😡	7960
😠	232
🤬	172
😈	1830
👿	1387
💀	14047
☠️	862
💩	2498
🤡	156
👹	2654
👺	7960
👻	1448
👽	2683
👾	6957
🤖	2048
😺	1375
😸	1375
😹	996
😻	3638
😼	996
😽	2197
🙀	1448
😿	996
😾	996
🙈	451
🙉	725
🙊	2901
💌	4540
💘	3638
💝	3638
💖	90392
💗	3638
💓	3638
💞	33276
💕	33276
💟	3902
❣️	21897
💔	14047
❤️‍🔥	3638
❤️	68175
🩷	2197
🧡	355
💛	8045
💚	2960
💙	1948
🩵	5343
💜	4280
🤎	1222
🖤	8943
🩶	638
🤍	8045
💋	3638
💯	13505
💢	3406
💥	68175
💫	457
💦	10207
💨	5378
🕳️	1283
💬	7548
👁️‍🗨️	18689
🗨️	5324
🗯️	939
💭	1498
💤	791
👋	68
🤚	20936
🖐️	20936
✋	20936
🖖	1764
🫱	20936
🫲	20936
🫳	20936
🫴	20936
🫷	20936
🫸	20936
👌	3556
🤌	20936
🤏	18317
✌️	33276
🤞	5344
🫰	3638
🤟	15228
🤘	15228
🤙	966
👈	5324
👉	5578
👆	5539
🖕	16662
👇	6342
☝️	177108
🫵	16225
👍	10481
👎	2498
✊	15793
👊	13416
🤛	3511
🤜	3511
👏	126
🙌	6946
🫶	5156
👐	5343
🤲	1496
🤝	19492
🙏	68175
✍️	23801
💅	1099
🤳	1828
💪	70223
🦾	20936
🦿	3743
🦵	3511
🦶	3743
👂	1437
🦻	725
👃	3261
🧠	1437
🫀	5657
🦷	4522
🦴	2128
👀	5539
👁️	1195
👄	10759
🫦	1830
👶	90392
🧒	11469
👦	16941
👧	16941
🧑	8987
👱	5343
👨	30986
🧔	12717
🧔‍♂️	12717
🧔‍♀️	16606
👨‍🦰	12717
👨‍🦱	12717
👨‍🦳	19492
👨‍🦲	12717
👩	16606
👩‍🦰	16606
🧑‍🦰	100
👩‍🦱	16606
🧑‍🦱	91
👩‍🦳	16606
🧑‍🦳	8045
👩‍🦲	16606
👱‍♀️	16606
👱‍♂️	12717
🧓	1483
👴	19344
👵	16606
🙍‍♂️	12717
🙍‍♀️	16606
🙎	172
🙎‍♂️	12717
🙎‍♀️	16606
🙅	7072
🙅‍♂️	12717
🙅‍♀️	16606
🙆	10481
🙆‍♂️	12717
🙆‍♀️	16606
💁	6940
💁‍♂️	12717
💁‍♀️	16606
🙋	234
🙋‍♂️	12717
🙋‍♀️	16606
🧏	725
🧏‍♂️	12717
🧏‍♀️	16606
🙇	1085
🙇‍♂️	12717
🙇‍♀️	16606
🤦	1573
🤦‍♂️	12717
🤦‍♀️	16606
🤷	57
🤷‍♂️	12717
🤷‍♀️	16606
🧑‍⚕️	4522
👨‍⚕️	12717
👩‍⚕️	16606
🧑‍🎓	9796
👨‍🎓	12717
👩‍🎓	16606
🧑‍🏫	25187
👨‍🏫	12717
👩‍🏫	16606
🧑‍⚖️	8712
👨‍⚖️	12717
👩‍⚖️	16606
🧑‍🌾	42161
👨‍🌾	42161
👩‍🌾	42161
🧑‍🍳	840
👨‍🍳	12717
👩‍🍳	16606
👨‍🔧	12717
👩‍🔧	16606
🧑‍🏭	3489
👨‍🏭	12717
👩‍🏭	16606
🧑‍💼	2133
👨‍💼	12717
👩‍💼	16606
🧑‍🔬	513
👨‍🔬	12717
👩‍🔬	16606
🧑‍💻	2893
👨‍💻	12717
👩‍💻	16606
🧑‍🎤	5344
👨‍🎤	12717
👩‍🎤	16606
🧑‍🎨	3801
👨‍🎨	12717
👩‍🎨	16606
🧑‍✈️	2468
👨‍✈️	12717
👩‍✈️	16606
🧑‍🚀	1558
👨‍🚀	12717
👩‍🚀	16606
🧑‍🚒	696
👨‍🚒	12717
👩‍🚒	16606
👮	8712
👮‍♂️	12717
👮‍♀️	16606
🕵️	2901
🕵️‍♂️	12717
🕵️‍♀️	16606
💂	4705
💂‍♂️	12717
💂‍♀️	16606
🥷	1853
👷	9461
👷‍♂️	12717
👷‍♀️	16606
🫅	30986
🤴	30986
👸	23611
👳	6045
👳‍♂️	12717
👳‍♀️	16606
👲	12717
🧕	16606
🤵	10239
🤵‍♂️	12717
🤵‍♀️	16606
👰	1453
👰‍♂️	12717
👰‍♀️	16606
🤰	16606
🫃	14047
🫄	69
🤱	10685
👩‍🍼	16606
👨‍🍼	12717
🧑‍🍼	314
👼	2197
🎅	39468
🤶	39468
🧑‍🎄	284866
🦸	6056
🦸‍♂️	12717
🦸‍♀️	16606
🦹	1435
🦹‍♂️	12717
🦹‍♀️	16606
🧙	1633
🧙‍♂️	12717
🧙‍♀️	16606
🧚	2197
🧚‍♂️	12717
🧚‍♀️	16606
🧛‍♂️	12717
🧛‍♀️	16606
🧜	10207
🧜‍♂️	12717
🧜‍♀️	16606
🧝	457
🧝‍♂️	12717
🧝‍♀️	16606
🧞	2684
🧞‍♂️	12717
🧞‍♀️	16606
🧟	824
🧟‍♂️	12717
🧟‍♀️	16606
🧌	245
💆	53
💆‍♂️	12717
💆‍♀️	16606
💇	39468
💇‍♂️	12717
💇‍♀️	16606
🚶	10528
🚶‍♂️	12717
🚶‍♀️	16606
🧍	581
🧍‍♂️	12717
🧍‍♀️	16606
🧎	1496
🧎‍♂️	12717
🧎‍♀️	16606
🧑‍🦯	376
👨‍🦯	12717
👩‍🦯	16606
🧑‍🦼	641
👨‍🦼	12717
👩‍🦼	16606
🧑‍🦽	963
👨‍🦽	12717
👩‍🦽	16606
🏃	1705
🏃‍♂️	12717
🏃‍♀️	16606
💃	23801
🕺	23801
🕴️	25026
👯	2860
👯‍♂️	2658
👯‍♀️	889
🧖	1121
🧖‍♂️	12717
🧖‍♀️	16606
🧗	52
🧗‍♂️	12717
🧗‍♀️	16606
🤺	638
🏇	461
⛷️	244
🏂	244
🏌️	3781
🏌️‍♂️	12717
🏌️‍♀️	16606
🏄‍♂️	12717
🏄‍♀️	16606
🚣	24154
🚣‍♂️	12717
🚣‍♀️	16606
🏊	5153
🏊‍♂️	12717
🏊‍♀️	16606
⛹️	6957
⛹️‍♂️	12717
⛹️‍♀️	16606
🏋️	11027
🏋️‍♂️	12717
🏋️‍♀️	16606
🚴‍♂️	12717
🚴‍♀️	16606
🚵	7389
🚵‍♂️	12717
🚵‍♀️	16606
🤸	69
🤸‍♂️	12717
🤸‍♀️	16606
🤼‍♂️	231
🤼‍♀️	231
🤽	10207
🤽‍♂️	12717
🤽‍♀️	16606
🤾‍♂️	12717
🤾‍♀️	16606
🤹	1197
🤹‍♂️	12717
🤹‍♀️	16606
🧘	409
🧘‍♂️	12717
🧘‍♀️	16606
🛀	5153
🛌	4153
🧑‍🤝‍🧑	13416
👭	33276
👫	16606
👬	33276
💏	4539
👩‍❤️‍💋‍👨	16606
👨‍❤️‍💋‍👨	33276
👩‍❤️‍💋‍👩	33276
💑	4539
👩‍❤️‍👨	16606
👨‍❤️‍👨	33276
👩‍❤️‍👩	33276
👪	4497
👨‍👩‍👦	16606
👨‍👩‍👧	16606
👨‍👩‍👧‍👦	68175
👨‍👩‍👦‍👦	33276
👨‍👩‍👧‍👧	33276
👨‍👨‍👦	33276
👨‍👨‍👧	33276
👨‍👨‍👧‍👦	33276
👨‍👨‍👦‍👦	33276
👨‍👨‍👧‍👧	33276
👩‍👩‍👦	33276
👩‍👩‍👧	33276
👩‍👩‍👧‍👦	33276
👩‍👩‍👦‍👦	33276
👩‍👩‍👧‍👧	33276
👨‍👦	16941
👨‍👦‍👦	33276
👨‍👧	16941
👨‍👧‍👦	33276
👨‍👧‍👧	33276
👩‍👦	16941
👩‍👦‍👦	33276
👩‍👧	16941
👩‍👧‍👦	33276
👩‍👧‍👧	33276
🗣️	39468
👤	517
👥	10605
🫂	5156
👣	3743
🐵	5483
🐒	126
🦍	68175
🐶	5483
🐕	3064
🦮	2128
🐕‍🦺	2128
🐩	3979
🐺	678
🦊	611
🦝	2197
🐱	5483
🐈	996
🐈‍⬛	8943
🦁	30986
🐯	6056
🐅	1256
🐆	929
🐴	12097
🫎	287
🫏	136
🐎	516
🦄	5179
🦓	599
🦌	1464
🦬	1256
🐮	5483
🐂	3489
🐃	10207
🐄	42161
🐷	14047
🐖	42161
🐗	678
🐽	1176
🐏	488
🐑	940
🐐	13505
🐪	177108
🐫	707
🦒	14873
🐘	68175
🦣	13852
🦏	862
🦛	68175
🐭	11469
🐁	11469
🐀	245
🐹	29227
🐰	5483
🐇	267
🐿️	286
🦫	220
🦔	2197
🦇	1283
🐻	68175
🐻‍❄️	8045
🐨	2197
🐼	2197
🦦	10207
🦨	541
🦡	123
🐾	2551
🦃	15632
🐔	42161
🐓	393
🐣	39468
🐤	11469
🐥	16225
🐦	3459
🐧	3459
🕊️	28993
🦅	3459
🦆	6734
🦢	6734
🦉	3459
🦤	3459
🪶	3446
🦩	733
🦚	1402
🦜	286
🪽	976
🐦‍⬛	8943
🪿	5153
🐸	5483
🐊	347
🐢	5153
🦎	248
🐍	3453
🐲	5483
🐉	2631
🦕	3453
🦖	347
🐳	10207
🐋	68175
🐬	5153
🦭	10207
🐟	29227
🐠	29227
🐡	458
🦈	8045
🐙	29227
🐚	379
🪸	3411
🪼	5153
🐌	245
🦋	4200
🐛	381
🐜	11469
🐝	11404
🪲	273
🐞	273
🦗	2960
🪳	2566
🕷️	1740
🕸️	19492
🦂	862
🦟	245
🪰	674
🪱	290
🦠	444
💐	5539
🌸	90392
💮	8045
🪷	113
🌹	30986
🥀	8943
🌺	2399
🌻	2071
🌼	3638
🌷	15632
🪻	4153
🌱	90392
🪴	19344
🌲	39468
🌳	42161
🌴	2061
🌵	3343
🌾	42161
🌿	6330
☘️	13593
🍀	2960
🍁	881
🍂	8943
🍃	6330
🪹	19344
🪺	39468
🍄	1174
🍇	39468
🍈	865
🍉	2809
🍊	39468
🍋	5153
🍌	2071
🍍	2061
🥭	2061
🍎	25187
🍏	2960
🍐	2960
🍑	4200
🍒	4539
🍓	2197
🫐	213
🥝	2960
🍅	7960
🫒	2960
🥥	2061
🥑	840
🍆	68175
🥔	954
🥕	954
🌽	42161
🌶️	2607
🫑	954
🥒	2960
🥬	954
🥦	2668
🧄	954
🧅	2960
🥜	2513
🫘	23801
🌰	301
🫚	52
🫛	8740
🍞	2607
🥐	5849
🥖	5849
🫓	1635
🥨	350
🥯	658
🥞	865
🧇	865
🧀	16716
🍖	1601
🍗	2661
🥩	2661
🥓	234
🍔	840
🍟	840
🍕	2975
🥪	840
🌮	1830
🌯	840
🫔	840
🥙	840
🧆	840
🥚	16716
🍳	1174
🥘	2734
🍲	2734
🫕	2607
🥣	1492
🥗	2960
🍿	20945
🧈	1733
🧂	2513
🥫	840
🍱	15228
🍘	2654
🍙	2654
🍚	760
🍛	7075
🍜	4831
🍝	2975
🍠	865
🍢	2654
🍣	15228
🍤	29227
🍥	3492
🥮	4952
🍡	2654
🥟	131
🥠	2631
🥡	2631
🦀	29227
🦞	29227
🦐	29227
🦑	29227
🦪	29227
🍦	1250
🍧	2654
🍨	3256
🍩	865
🍪	224
🎂	15632
🍰	865
🧁	2197
🥧	6880
🍫	2607
🍬	865
🍭	865
🍮	865
🍯	5153
🍼	11469
🥛	16716
☕	11404
🫖	10207
🍵	8943
🍶	2654
🍾	284866
🍷	39468
🍸	1951
🍹	2809
🍺	2170
🍻	2428
🥂	8045
🥃	12717
🫗	10207
🥤	5310
🧋	2809
🧃	11469
🧉	1951
🧊	5153
🥢	2631
🍽️	1492
🍴	840
🥄	493
🔪	4701
🫙	1081
🏺	20160
🌍	37557
🌎	37557
🌏	37557
🌐	1740
🗺️	37557
🗾	8297
🧭	1364
🏔️	7389
⛰️	6248
🌋	2607
🏕️	3022
🏖️	29227
🏜️	3343
🏝️	2061
🏞️	31513
🏟️	6957
🏛️	25026
🏗️	16878
🧱	12451
🪨	6248
🪵	7944
🛖	42161
🏘️	81720
🏚️	19492
🏠	19344
🏡	42161
🏢	81720
🏣	16878
🏤	16878
🏥	19579
🏦	16878
🏨	16878
🏩	2220
🏪	1850
🏫	90392
🏬	26984
🏭	8518
🏯	9759
🏰	70223
💒	43659
🗼	7119
🗽	19238
⛪	43659
🕌	2871
🛕	9618
🕍	9618
⛩️	9618
⛲	8740
⛺	3022
🌁	81720
🌃	284866
🏙️	81720
🌄	165
🌅	39468
🌆	81720
🌇	81720
🌉	81720
♨️	5310
🎠	8740
🛝	8740
🎡	8740
🎢	8740
💈	2108
🎪	3525
🚂	1392
🚃	1175
🚄	1175
🚅	2654
🚆	1175
🚇	8518
🚈	1983
🚉	8518
🚊	1175
🚝	5816
🚞	7389
🚋	790
🚌	25187
🚍	16225
🚐	63
🚑	4522
🚒	3510
🚓	3510
🚔	16225
🚕	3510
🚖	16225
🚗	81720
🚘	16225
🚙	3510
🛻	3510
🚚	3510
🚛	68175
🚜	42161
🏎️	3510
